楽曲名,難易度,楽曲レベル,クリアランク,スコアグレード,ハイスコア,プレー回数,クリア回数,ULTIMATE CHAIN,PERFECT
アワデコノヨヲ,MAXIMUM,17,EXCESSIVE COMPLETE,AAA,9751243,1,1,0,0
SAtAN,MAXIMUM,18,COMPLETE,AA,9361439,4,1,0,0
disordered asia,MAXIMUM,16,EXCESSIVE COMPLETE,S,9900841,3,3,0,0
Divine's:Bugscript,MAXIMUM,18,COMPLETE,AA+,9616216,3,3,0,0
Two of Us,MAXIMUM,15,EXCESSIVE COMPLETE,AAA,9730215,3,3,0,0
Dreaming feat.nomico,MAXIMUM,17,EXCESSIVE COMPLETE,AAA+,9843581,4,4,0,0
私の恋色。,MAXIMUM,16,EXCESSIVE COMPLETE,S,9917163,2,2,0,0
Arcade Prison,MAXIMUM,17,EXCESSIVE COMPLETE,AAA,9739073,1,1,0,0
Evans,MAXIMUM,18,COMPLETE,AA+,9608282,3,3,0,0
Oriens,MAXIMUM,17,EXCESSIVE COMPLETE,AAA,9737149,1,1,0,0
Decoy,MAXIMUM,17,EXCESSIVE COMPLETE,AAA,9784869,1,1,0,0
New Leaf,MAXIMUM,18,EXCESSIVE COMPLETE,AA+,9676275,3,3,0,0
β,MAXIMUM,17,EXCESSIVE COMPLETE,AAA,9792830,1,1,0,0
RHYZING BEAT,MAXIMUM,18,EXCESSIVE COMPLETE,AA+,9612381,3,3,0,0
Re：End of a Dream,MAXIMUM,18,COMPLETE,AA,9302649,1,1,0,0
業焔繚乱,GRAVITY,18,COMPLETE,AA,9498069,3,3,0,0
Sky High,MAXIMUM,18,COMPLETE,AA,9433448,2,1,0,0
スピーカーガール！,GRAVITY,16,EXCESSIVE COMPLETE,AAA,9791142,1,1,0,0
CHERNOBOG,MAXIMUM,18,COMPLETE,AA+,9500611,3,1,0,0
ビビットストリーム,MAXIMUM,16,EXCESSIVE COMPLETE,AAA+,9816676,1,1,0,0
Phlox,MAXIMUM,17,EXCESSIVE COMPLETE,AAA,9763033,1,1,0,0
蟲の棲む処,MAXIMUM,17,EXCESSIVE COMPLETE,AAA+,9840025,4,4,0,0
Royal Judgement,GRAVITY,17,EXCESSIVE COMPLETE,AA+,9519331,2,1,0,0
ロプノールの商隊,MAXIMUM,17,EXCESSIVE COMPLETE,AAA,9732678,2,2,0,0
惑星☆ロリポップ,MAXIMUM,16,EXCESSIVE COMPLETE,AAA+,9803392,1,1,0,0
分けるな危険！モモモモモモーイズム,MAXIMUM,17,EXCESSIVE COMPLETE,AA+,9650568,1,1,0,0
Awakening,EXHAUST,17,EXCESSIVE COMPLETE,AAA,9790330,2,1,0,0
Awakening,MAXIMUM,19,PLAYED,AA,9303934,3,0,0,0
Wings of Glory,EXHAUST,15,PLAYED,S,9917081,1,0,0,0
Wings of Glory,MAXIMUM,18,EXCESSIVE COMPLETE,AA+,9651112,3,2,0,0
crossing blue,EXHAUST,16,PLAYED,AAA,9784849,1,0,0,0
crossing blue,MAXIMUM,18,COMPLETE,AA+,9639285,5,1,0,0
Xéroa,EXHAUST,17,EXCESSIVE COMPLETE,AAA,9703000,2,1,0,0
BlueMoon Princess,EXHAUST,16,PLAYED,AAA+,9876698,1,0,0,0
BlueMoon Princess,MAXIMUM,18,COMPLETE,AA,9480349,2,1,0,0
プラネタジャーニー,EXHAUST,14,PLAYED,AAA+,9874213,1,0,0,0
プラネタジャーニー,MAXIMUM,17,EXCESSIVE COMPLETE,AA+,9655172,3,2,0,0
メルヘン風紀委員会,EXHAUST,14,PLAYED,S,9901960,1,0,0,0
メルヘン風紀委員会,MAXIMUM,17,PLAYED,AA+,9619928,2,0,0,0
Яe's NoVǢ,EXHAUST,15,EXCESSIVE COMPLETE,AAA+,9860627,3,2,0,0
Яe's NoVǢ,MAXIMUM,18,COMPLETE,AA+,9683030,2,1,0,0
からくりピエロ,MAXIMUM,16,EXCESSIVE COMPLETE,AAA+,9856262,1,1,0,0
GERBERA-For Finalists-,EXHAUST,17,EXCESSIVE COMPLETE,AA+,9602330,4,3,0,0
GERBERA-For Finalists-,MAXIMUM,19,PLAYED,A,8825950,1,0,0,0
Libera me,MAXIMUM,17,EXCESSIVE COMPLETE,AA+,9544134,2,2,0,0
ワールズエンド・ダンスホール,MAXIMUM,18,COMPLETE,AA,9428715,2,1,0,0
I,ADVANCED,15,EXCESSIVE COMPLETE,S,9918831,3,1,0,0
I,EXHAUST,18,EXCESSIVE COMPLETE,AAA,9725935,3,2,0,0
A Lasting Promise,EXHAUST,17,EXCESSIVE COMPLETE,AA+,9574095,10,8,0,0
CUTE-Reflection,EXHAUST,14,PLAYED,S,9933774,1,0,0,0
CUTE-Reflection,MAXIMUM,17,PLAYED,AA+,9685950,2,0,0,0
Cloud 9,EXHAUST,16,EXCESSIVE COMPLETE,AAA+,9817407,2,1,0,0
Cloud 9,MAXIMUM,18,COMPLETE,AA+,9568081,6,1,0,0
Sacrifice and Faith,EXHAUST,15,EXCESSIVE COMPLETE,AAA+,9892648,3,2,0,0
Sacrifice and Faith,MAXIMUM,18,COMPLETE,AA+,9578797,4,3,0,0
神話に芽吹く,EXHAUST,15,EXCESSIVE COMPLETE,AAA+,9897735,3,2,0,0
神話に芽吹く,MAXIMUM,18,COMPLETE,AA+,9517081,11,1,0,0
僕らの時間,MAXIMUM,17,PLAYED,AAA,9733606,2,0,0,0
羅生門,EXHAUST,15,EXCESSIVE COMPLETE,S,9908316,2,1,0,0
羅生門,MAXIMUM,17,PLAYED,AAA,9739527,1,0,0,0
Last Resort,ADVANCED,14,PLAYED,AAA+,9831460,1,0,0,0
Last Resort,EXHAUST,17,EXCESSIVE COMPLETE,AAA+,9811275,4,2,0,0
Last Resort,MAXIMUM,19,PLAYED,C,6965811,2,0,0,0
BREAKNECK NY☆N! NY★N!,MAXIMUM,17,EXCESSIVE COMPLETE,AAA,9789991,1,1,0,0
planetarium,MAXIMUM,17,EXCESSIVE COMPLETE,AA+,9618760,3,3,0,0
MONOLITH,MAXIMUM,18,EXCESSIVE COMPLETE,AA+,9681027,2,2,0,0
Lionheart,MAXIMUM,16,EXCESSIVE COMPLETE,AAA+,9802169,1,1,0,0
Random Box,MAXIMUM,16,EXCESSIVE COMPLETE,AAA+,9867579,1,1,0,0
CARNIVOROUS,MAXIMUM,17,EXCESSIVE COMPLETE,AAA+,9804432,1,1,0,0
スカイダイバー,MAXIMUM,16,EXCESSIVE COMPLETE,S,9906156,1,1,0,0
SPACE VILLAGE,MAXIMUM,17,EXCESSIVE COMPLETE,AA+,9671464,1,1,0,0
それは花火のような恋,MAXIMUM,17,EXCESSIVE COMPLETE,AA+,9611082,3,3,0,0
トキメキストリーム,MAXIMUM,16,EXCESSIVE COMPLETE,S,9904076,1,1,0,0
びいすと！,MAXIMUM,18,EXCESSIVE COMPLETE,AAA,9745540,5,5,0,0
VOLTEXES IV,MAXIMUM,17,EXCESSIVE COMPLETE,AAA,9710920,1,1,0,0
メイビ～初恋！？ビスケット☆大作戦,MAXIMUM,18,COMPLETE,AA+,9569983,3,3,0,0
Lost wing at.0,MAXIMUM,17,EXCESSIVE COMPLETE,AAA,9757281,2,2,0,0
НУМЛ,EXHAUST,15,EXCESSIVE COMPLETE,AAA+,9808160,2,2,0,0
НУМЛ,MAXIMUM,18,PLAYED,AA,9305177,13,0,0,0
極彩天奏,EXHAUST,15,EXCESSIVE COMPLETE,AAA+,9852941,1,1,0,0
極彩天奏,MAXIMUM,18,EXCESSIVE COMPLETE,AA,9482257,4,4,0,0
Zelophilia,MAXIMUM,17,EXCESSIVE COMPLETE,AAA,9733290,5,5,0,0
ツキアカリ,MAXIMUM,17,EXCESSIVE COMPLETE,AAA+,9840364,2,2,0,0
ボーイミーツ・ブルー,MAXIMUM,17,EXCESSIVE COMPLETE,AAA,9791666,4,4,0,0
ルミナスデイズ,MAXIMUM,16,EXCESSIVE COMPLETE,S,9908616,1,1,0,0
Lowermost revolt,MAXIMUM,18,COMPLETE,AA+,9617750,4,4,0,0
Royal Action,MAXIMUM,17,EXCESSIVE COMPLETE,AA+,9532004,4,4,0,0
KAC 2013 ULTIMATE MEDLEY -HISTORIA SOUND VOLTEX- Empress Side,EXHAUST,19,COMPLETE,AA+,9507121,3,1,0,0
おにいちゃんハイテック,MAXIMUM,17,EXCESSIVE COMPLETE,AAA+,9894475,5,5,0,0
Chaotic Romance,MAXIMUM,17,EXCESSIVE COMPLETE,AAA+,9800918,2,2,0,0
Khionos TiARA,EXHAUST,16,EXCESSIVE COMPLETE,AAA+,9879171,1,1,0,0
Khionos TiARA,MAXIMUM,18,COMPLETE,AA+,9512448,3,2,0,0
Goddess Bless you,EXHAUST,15,EXCESSIVE COMPLETE,S,9904357,1,1,0,0
Goddess Bless you,MAXIMUM,18,COMPLETE,AA+,9576236,6,6,0,0
Xibercannon,EXHAUST,15,ULTIMATE CHAIN,AAA+,9896171,3,3,1,0
Xibercannon,MAXIMUM,17,EXCESSIVE COMPLETE,AAA+,9803386,3,3,0,0
Destruction & Qreation,MAXIMUM,17,EXCESSIVE COMPLETE,AA+,9652635,1,1,0,0
DropZ-Line-,MAXIMUM,18,COMPLETE,AA,9353689,5,3,0,0
PIERROT KNIfE,MAXIMUM,17,EXCESSIVE COMPLETE,AA+,9670025,2,1,0,0
OPEN MY GATE,EXHAUST,15,PLAYED,S,9935535,1,0,0,0
OPEN MY GATE,MAXIMUM,18,COMPLETE,AA+,9511400,6,4,0,0
All Clear!!,EXHAUST,14,EXCESSIVE COMPLETE,S,9916134,2,1,0,0
All Clear!!,MAXIMUM,17,EXCESSIVE COMPLETE,AAA,9701568,5,4,0,0
Cy-Bird,EXHAUST,14,PLAYED,AAA+,9872783,1,0,0,0
Cy-Bird,MAXIMUM,17,EXCESSIVE COMPLETE,AA+,9619260,4,3,0,0
#SpeedyCats,EXHAUST,16,EXCESSIVE COMPLETE,AAA,9766325,3,2,0,0
#SpeedyCats,MAXIMUM,18,COMPLETE,AA,9318734,3,2,0,0
TWO-TORIAL,ADVANCED,14,PLAYED,S,9918730,1,0,0,0
TWO-TORIAL,EXHAUST,17,EXCESSIVE COMPLETE,AA+,9610630,7,3,0,0
TWO-TORIAL,MAXIMUM,19,PLAYED,A+,9267791,7,0,0,0
Hug!! Vs. Hug!!,EXHAUST,16,PLAYED,AAA+,9835782,1,0,0,0
Hug!! Vs. Hug!!,MAXIMUM,18,COMPLETE,AA,9325581,3,2,0,0
BEAST BASS BOMB,EXHAUST,15,EXCESSIVE COMPLETE,AAA+,9874686,4,3,0,0
BEAST BASS BOMB,MAXIMUM,18,COMPLETE,AA+,9576100,3,1,0,0
Far Away,EXHAUST,14,PLAYED,AAA+,9897017,1,0,0,0
Far Away,MAXIMUM,17,EXCESSIVE COMPLETE,AAA,9749879,3,2,0,0
闇夜に舞うは紅の華,EXHAUST,15,EXCESSIVE COMPLETE,S,9930555,2,1,0,0
闇夜に舞うは紅の華,MAXIMUM,17,EXCESSIVE COMPLETE,AA+,9658931,4,3,0,0
GERBERA,EXHAUST,16,EXCESSIVE COMPLETE,S,9901713,1,1,0,0
GERBERA,MAXIMUM,18,COMPLETE,AA,9495677,7,1,0,0
It's a new day!,MAXIMUM,16,EXCESSIVE COMPLETE,AAA+,9888718,1,1,0,0
HP:1,EXHAUST,15,EXCESSIVE COMPLETE,AAA+,9838833,1,1,0,0
